HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5051294,Wingham Post Office,NULL,Greater Taree,SHR,01419,NULL,2014-03-20,
5054842,"Rooty Hill, The",NULL,Blacktown,SHR,01756,2061,2014-03-20,
5045411,Kyle House,27-31 Macquarie Place Sydney,Sydney,SHR,00654,1692,2014-03-20,
5045723,Palace Hotel,227 Argent Street Broken Hill,Broken Hill,SHR,00335,810,2014-03-20,
5052218,Escort Rock,"The Escort Way, Eugowra",Cabonne,SHR,01827,2276,,
5051468,Avon Dam,NULL,Wingecarribee,SHR,01358,NULL,2014-03-20,
5049732,Lidcombe Hospital Precinct,NULL,Auburn,SHR,01744,2065,2014-03-20,
5045050,Land Titles Office,NULL,Sydney,SHR,00962,NULL,2014-03-20,
5053171,Julian Ashton Art School,117-119 George Street The Rocks,Sydney,SHR,01556,NULL,2014-03-20,
5053874,Sewer Vent and Cottage,125 Corunna Road Stanmore,Marrickville,SHR,01635,2000,2014-03-20,
5012106,Milsons Point Railway Station group,NULL,North Sydney,SHR,01194,2400,2014-03-20,
5050765,Harper's Mansion,NULL,Wingecarribee,SHR,01500,2128,2014-03-20,
5045649,Terrace,"47, 49, 51, 53 Lower Fort Street Millers Point",Sydney,SHR,00906,NULL,2014-03-20,
5045249,Goulburn Brewery,NULL,Goulburn Mulwaree,SHR,00178,308,2014-03-20,
